cliente_id,nome,email,telefone,data_nascimento,cep,cidade,estado,data_cadastro,ultima_compra,frequencia_compras,ticket_medio
1,Benício Siqueira,arthur-gabrielcamargo@example.com,+55 (031) 5241-0286,1974-02-22,25258-872,da Rocha da Serra,MS,2025-03-31,2024-10-05,4,61.25
2,Enzo Gabriel da Paz,pintoayla@example.org,84 2235 4916,1995-07-24,38106-179,Souza,MG,2024-12-04,2025-01-10,9,160.2
3,Lorena Novais,piresjulia@example.net,+55 (061) 7473 3388,1981-10-20,52566548,Brito das Flores,CE,2023-09-12,2024-06-12,5,381.41
4,Gabriel da Rocha,vasconcelosanna-liz@example.net,84 5902 3195,1978-06-20,62903-636,Oliveira,RS,2024-08-29,2025-02-26,18,89.12
5,Dr. Thales Gonçalves,jfonseca@example.net,+55 51 2677 0879,1956-07-24,63305-269,Barros de Fogaça,PR,2024-01-04,2024-06-18,14,64.3
6,Vinicius Castro,da-luzmaria-flor@example.net,11 4155-6224,1987-10-07,53713855,Ramos,TO,2023-07-19,2024-12-26,3,148.39
7,Thales Castro,valentimsouza@example.net,(061) 3680 5347,1969-02-10,17559737,Machado de Goiás,RR,2023-07-18,2024-06-15,17,320.91
8,Alícia Oliveira,maria-helena99@example.net,84 8788-4210,1991-11-14,75699550,Fonseca das Flores,TO,2024-04-23,2024-04-30,18,139.48
9,Carlos Eduardo Cassiano,bryanpereira@example.net,+55 (051) 4611 4018,1991-11-12,72892-395,das Neves do Campo,DF,2023-09-06,2024-12-16,18,238.78
10,Dr. Yan Mendonça,alice25@example.com,(031) 5561 5923,1955-09-20,41135-716,Costa de Pacheco,MG,2025-03-15,2024-04-17,15,315.17
11,Giovanna Sousa,vieiracaio@example.org,61 5405 4244,1953-04-14,65501-294,da Cruz da Prata,PE,2023-06-05,2024-07-17,1,391.46
12,André Brito,caldeiradom@example.net,+55 (051) 2483-0316,1953-10-26,79364-346,da Cunha,MA,2024-09-17,2025-03-14,6,364.16
13,Bárbara Cavalcanti,isales@example.net,84 8536 8937,1997-07-21,53718963,Jesus Grande,SP,2024-05-21,2024-12-29,11,175.04
14,Ana Lívia Montenegro,correiapedro-lucas@example.com,(051) 5418-9052,2000-06-02,77711-698,Câmara da Mata,BA,2023-08-01,2025-03-14,7,480.75
15,Nicolas Albuquerque,melissaaragao@example.com,41 4267 1309,2002-10-21,70310-633,Gomes dos Dourados,ES,2023-07-20,2024-11-27,11,95.99
16,Caroline Mendonça,woliveira@example.net,+55 81 1162 7461,1982-11-11,40192-199,Cardoso da Praia,SC,2024-06-10,2024-12-05,13,93.52
17,Kaique Nunes,maite23@example.org,0900-969-4640,1955-07-30,04029157,Cirino de Goiás,RJ,2024-03-21,2024-04-23,12,321.68
18,Théo Oliveira,pfogaca@example.org,(021) 9613 1325,1971-06-13,94359325,Mendes de Freitas,SC,2024-08-29,2024-09-28,2,378.38
19,Luan Rios,livia67@example.net,(021) 3285 0917,1946-10-24,81118549,Silva,BA,2023-11-08,2024-11-27,18,106.17
20,Evelyn Ferreira,ana-liviaazevedo@example.com,+55 71 4494 2446,1991-03-01,30559-553,Sales Verde,AL,2024-03-29,2024-06-17,13,85.46
21,Leandro Cunha,luccavasconcelos@example.com,+55 (031) 7967 2212,1956-03-16,88477263,Lima Grande,RS,2023-05-06,2024-04-27,10,423.23
22,Sr. Davi Miguel Sales,alicia17@example.net,61 4101 2532,1991-07-02,17447787,Campos,AM,2024-02-29,2024-05-14,20,448.45
23,Sra. Maria Isis Borges,hduarte@example.org,+55 84 2816-5286,1952-01-21,23830014,Silveira dos Dourados,RR,2023-05-11,2024-07-10,12,309.81
24,Kaique Ramos,voliveira@example.net,+55 21 7536-8276,1984-03-18,55897-201,Peixoto,CE,2025-01-15,2024-09-12,3,70.62
25,Júlia Cirino,fdias@example.org,(041) 9775 8742,1963-09-29,10809171,Barros do Galho,PI,2024-01-07,2024-09-27,8,397.88
26,Sra. Maitê da Rosa,pachecomelina@example.com,(084) 7023-6256,1989-02-10,86763-833,da Rocha de Goiás,DF,2023-10-10,2024-06-24,3,434.89
27,Bárbara Nogueira,gmacedo@example.net,(061) 9227 4506,1993-06-23,72031-203,da Cunha das Flores,SC,2024-03-27,2025-03-05,4,221.06
28,Maria Flor Pinto,ana-lizsampaio@example.net,(021) 8201 4199,2001-09-20,78431-068,Mendes,RJ,2024-07-28,2024-05-26,15,336.06
29,Maya Machado,eduarda28@example.net,+55 71 1475 9065,1970-04-17,26860-215,Cavalcanti de Correia,AC,2023-11-25,2024-07-04,12,123.19
30,Léo Costa,camargonatalia@example.net,51 3665 8355,2001-04-14,65363654,Abreu,PE,2023-10-02,2024-06-11,12,144.28
31,Fernanda Novaes,luiz-gustavo58@example.org,+55 71 5043-8384,1993-02-06,79616529,Fernandes do Amparo,AC,2023-05-24,2024-05-16,9,365.82
32,Amanda Albuquerque,mateusaraujo@example.net,(011) 8055-0302,1994-02-18,63452-455,da Costa do Amparo,RJ,2023-05-05,2024-11-12,3,324.11
33,Nicole Rezende,cardosojoao-pedro@example.org,+55 (051) 1693 6392,1947-09-25,70620575,Farias de Borges,MT,2023-12-19,2025-03-06,6,290.36
34,Allana da Rosa,camposbrenda@example.org,0900-687-8222,1997-06-26,50364140,da Cruz,PA,2023-04-08,2024-11-29,8,123.53
35,Aylla Fonseca,alexia96@example.com,+55 (084) 3153-5835,1951-05-12,20679-120,Almeida Verde,AP,2024-12-09,2024-05-02,13,171.48
36,Emilly Oliveira,vieiramarcelo@example.com,+55 61 0555 5655,1958-02-12,49374412,Silveira do Galho,PI,2023-10-18,2025-03-20,18,148.83
37,Srta. Bianca da Rosa,bryannunes@example.org,+55 71 7914 3372,1982-11-19,73349299,Lopes,MS,2024-01-01,2025-01-18,11,429.28
38,Vitor Hugo Castro,isabelly10@example.com,0500 628 4247,1978-12-24,44181-060,Vieira Alegre,PI,2023-07-27,2024-12-14,2,153.07
39,Joana Mendonça,arthur-gabriel05@example.com,84 7871 4423,1971-10-10,45318613,da Rosa das Pedras,RO,2024-01-26,2024-12-31,2,412.27
40,Samuel Macedo,aylapeixoto@example.com,0500 395 5904,2005-09-18,38051-140,Melo,RS,2023-07-29,2025-03-04,13,170.48
41,Lucas Farias,fviana@example.net,81 5998 9592,1983-04-27,70848386,Abreu da Praia,RJ,2023-12-28,2025-02-24,7,460.91
42,Benjamin Cardoso,santosluna@example.org,41 3085-6268,2003-08-31,86025186,Andrade da Serra,RS,2024-03-21,2024-10-08,19,444.37
43,Sr. Rodrigo Pimenta,danilo19@example.org,(081) 4786-7320,1998-07-16,25304188,Abreu da Praia,SP,2024-01-04,2025-02-06,11,145.68
44,Lavínia Câmara,joao-felipe28@example.org,21 4581-9203,1948-06-11,28863-303,Borges,GO,2024-06-29,2024-09-14,16,228.03
45,André Freitas,raquelgomes@example.org,(071) 8473 0971,1976-02-23,90008-663,Vasconcelos,MG,2023-06-27,2024-11-05,15,114.29
46,Fernando Camargo,brendacostela@example.com,+55 81 3565-3662,1963-01-19,49967163,Martins,TO,2024-06-24,2024-12-27,5,160.98
47,Ana Luiza Araújo,asafe35@example.org,+55 51 9413 3349,1947-07-08,91851-439,Araújo do Sul,AC,2023-11-02,2024-09-11,18,292.54
